 OTU# 	 CD-b_Sig_C1492 	 CD-b_Sig_C1675 	 CD-b_Sig_D0742 	 CD-b_Sig_D0743 	 CD-b_TIle_C1671 	 CD-b_TIle_D0756 	 CD-b_TIle_D0757 	 CD-b_TIle_D0758 	 CD-nb_Sig_C1670 	 CD-nb_Sig_C1673 	 CD-nb_Sig_D0745 	 CD-nb_Sig_D0746 	 CD-nb_TIle_C1669 	 CD-nb_TIle_C1672 	 CD-nb_TIle_C1674 	 CD-nb_TIle_C1686 	 CD-nb_TIle_D0759 	 CD-nb_TIle_D0760 	 Ctrl-nb_Sig_C1656 	 Ctrl-nb_Sig_C1663 	 Ctrl-nb_Sig_C1680 	 Ctrl-nb_Sig_C1684 	 Ctrl-nb_Sig_D0768 	 Ctrl-nb_TIle_C1655 	 Ctrl-nb_TIle_C1659 	 Ctrl-nb_TIle_C1662 	 Ctrl-nb_TIle_C1679 	 Ctrl-nb_TIle_C1683 	 Ctrl-nb_TIle_D0761 	 DCtrl-b_Sig_C1493 	 DCtrl-b_Sig_C1668 	 DCtrl-b_Sig_C1682 	 DCtrl-b_Sig_D0748 	 DCtrl-b_TIle_C1677 	 DCtrl-b_TIle_D0762 	 DCtrl-nb_Sig_C1649 	 DCtrl-nb_Sig_C1676 	 DCtrl-nb_Sig_D0749 	 DCtrl-nb_Sig_D0769 	 DCtrl-nb_TIle_C1648 	 DCtrl-nb_TIle_C1664 	 DCtrl-nb_TIle_C1681 	 DCtrl-nb_TIle_D0763 	 DCtrl-nb_TIle_D0764 	 UC-b_Sig_C1658 	 UC-b_Sig_C1661 	 UC-b_Sig_C1666 	 UC-b_Sig_C2485 	 UC-b_TIle_C1665 	 UC-b_TIle_D0765 	 UC-nb_Sig_C1494 	 UC-nb_Sig_D0751 	 UC-nb_Sig_D0752 	 UC-nb_Sig_D0754 	 UC-nb_TIle_C1650 	 UC-nb_TIle_C1653 	 UC-nb_TIle_C1660 	 UC-nb_TIle_C1678 	 UC-nb_TIle_C2484 	 CountZeros 	 CountNonZeros 
Otu00314	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	3
Otu00315	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	1
Otu00316	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	1
Otu00317	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	1	0	0	4	1	0	7	2	1	0	0	0	0	7	11	47	12
Otu00318	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	2
Otu00319	1	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	42	0	0	0	0	0	0	0	0	3	51	8
Otu00320	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	4	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	12	1	0	0	5	0	0	19	0	47	12
Otu00321	5	0	0	0	0	3	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	1	2	3	0	0	1	0	3	5	0	1	0	1	1	0	0	0	0	0	10	0	1	0	1	0	0	1	0	6	0	2	0	1	7	0	0	0	0	34	25
Otu00322	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	3
Otu00323	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	17	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	10	6	0	0	46	13
Otu00324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	49	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	52	7
Otu00325	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	15	0	0	4	0	0	0	0	1	0	0	2	0	0	15	0	0	48	11
Otu00326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	25	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	3
Otu00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	18	0	0	0	0	0	8	0	0	0	0	55	4
Otu00328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	54	5
Otu00329	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	52	7
Otu00330	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	25	0	0	0	0	54	5
Otu00331	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	37	0	0	0	0	0	0	0	0	0	0	13	54	5
Otu00332	0	1	0	1	0	0	0	4	0	0	35	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	51	8
Otu00333	0	2	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	0	0	1	0	16	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	48	11
Otu00334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	16	0	2	0	0	0	3	0	1	3	0	3	0	10	1	0	0	5	0	0	1	0	46	13
Otu00335	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	12	0	0	8	1	48	11
Otu00336	0	0	0	1	6	0	0	1	0	2	0	8	0	0	0	0	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	9	0	2	0	47	12
Otu00337	0	0	0	1	0	0	0	0	0	0	0	28	0	0	0	0	12	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	50	9
Otu00338	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	54	5
Otu00339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	2
Otu00340	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	5	0	8	0	0	0	0	0	0	5	5	49	10
Otu00341	0	0	4	0	2	0	0	0	0	3	0	0	1	0	6	2	0	0	0	0	2	2	0	0	0	0	4	5	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	3	44	15
Otu00342	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	3	0	0	2	0	1	8	0	0	0	7	0	0	0	0	0	47	12
Otu00343	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	9	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	0	1	2	51	8
Otu00344	18	0	0	0	1	0	0	0	0	2	0	0	0	3	0	2	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	49	10
Otu00345	0	0	0	0	0	0	0	0	40	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	2
Otu00346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	55	4
Otu00347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	15	0	4	0	0	0	0	0	0	3	0	52	7
Otu00348	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	28	54	5
Otu00349	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	53	6
Otu00350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	1	2	0	0	0	0	4	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	14	0	48	11
Otu00351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	24	0	7	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	51	8
Otu00352	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	55	4
Otu00353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	5	0	6	0	0	8	0	1	0	0	0	0	0	0	8	0	7	0	0	0	0	0	0	0	0	0	0	51	8
Otu00354	0	0	0	0	0	0	0	5	0	1	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	8	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	48	11
Otu00355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	57	2
Otu00356	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	53	6
Otu00357	0	0	0	1	6	0	0	0	0	7	0	3	0	0	1	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	8
Otu00358	0	0	0	1	0	2	1	0	0	0	1	3	0	6	1	1	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	4	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	9	0	1	0	0	41	18
Otu00359	0	0	2	0	0	1	0	0	0	0	1	0	9	0	0	0	1	0	0	1	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	1	0	1	0	0	1	0	1	0	0	5	1	0	0	0	43	16
Otu00360	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	6
Otu00361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	55	4
Otu00362	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	57	2
Otu00363	0	0	0	6	0	0	0	7	0	0	0	0	0	2	0	0	0	3	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	50	9
Otu00364	0	0	0	0	0	1	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	54	5
Otu00365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	4
Otu00366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	11	0	55	4
Otu00367	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	4	2	0	0	0	0	1	1	18	47	12
Otu00368	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	54	5
Otu00369	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	1	0	0	3	0	0	2	1	0	0	0	1	0	0	0	50	9
Otu00370	1	0	0	1	1	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	9	0	0	2	0	1	3	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	46	13
Otu00371	0	1	0	3	1	0	0	2	0	2	0	7	0	0	0	0	1	2	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	2	2	0	1	41	18
Otu00372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	5	0	0	0	0	0	5	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	4
Otu00373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	17	0	0	0	0	0	0	11	0	52	7
Otu00374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	35	0	0	0	0	57	2
Otu00375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	56	3
Otu00376	0	0	0	2	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	5	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	1	0	50	9
Otu00377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	58	1
Otu00378	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	55	4
Otu00379	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	4	0	54	5
Otu00380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	2	0	0	0	0	16	0	0	0	0	0	1	0	1	0	0	6	0	0	0	0	0	0	2	1	0	0	49	10
Otu00381	8	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	13	0	0	0	0	54	5
Otu00382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	2
Otu00383	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	52	7
Otu00384	0	0	0	1	0	0	0	0	0	0	0	12	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	1	2	4	0	1	45	14
Otu00385	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	0	0	48	11
Otu00386	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	54	5
Otu00387	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	2	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	0	51	8
Otu00388	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	55	4
Otu00389	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	5
Otu00390	0	0	0	0	0	0	0	0	0	0	1	0	7	1	0	0	0	0	2	0	0	2	0	0	3	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	49	10
Otu00391	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	14	0	0	0	0	53	6
Otu00392	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	6	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	1	1	1	45	14
Otu00393	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	17	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	50	9
Otu00394	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	2
Otu00395	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	1	0	2	0	0	1	0	0	0	1	0	0	0	0	1	5	0	0	0	2	2	2	0	44	15
Otu00396	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	2
Otu00397	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	2	7	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	4	47	12
Otu00398	0	0	20	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	51	8
Otu00399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	55	4
Otu00400	3	0	0	0	0	0	0	0	0	1	0	0	20	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	53	6
Otu00401	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	1	0	0	10	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	7
Otu00402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	2
Otu00403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	21	0	0	57	2
Otu00404	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	54	5
Otu00405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	54	5
Otu00406	0	0	0	2	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	51	8
Otu00407	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	7
Otu00408	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	13	0	0	0	0	54	5
Otu00409	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	1
Otu00410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	19	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	55	4
Otu00411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	2
Otu00412	0	0	0	1	0	0	0	0	0	0	0	17	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	52	7
Otu00413	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	6
Otu00414	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	4	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	49	10
